id	to_be_done_s_expression
Display medical guidance for Abused patient	"(procedure (snomed_concept ""Procedure"" ""procedure"") (snomed_concept ""Reference documentation"" ""qualifier value"") (link ""APC 2023 — Abused patient"" ""/medical-resources/primary-care/adult.pdf#page=88"" ""/medical-resources/za/primary-care/adult/thumbnails/400/88.png""))"
Display medical guidance for Abdominal pain	"(procedure (snomed_concept ""Procedure"" ""procedure"") (snomed_concept ""Reference documentation"" ""qualifier value"") (link ""APC 2023 — Abdominal pain"" ""/medical-resources/primary-care/adult.pdf#page=44"" ""/medical-resources/za/primary-care/adult/thumbnails/400/44.png""))"
Display medical guidance for Aggressive patient	"(procedure (snomed_concept ""Procedure"" ""procedure"") (snomed_concept ""Reference documentation"" ""qualifier value"") (link ""APC 2023 — Aggressive patient"" ""/medical-resources/primary-care/adult.pdf#page=84"" ""/medical-resources/za/primary-care/adult/thumbnails/400/84.png""))"
Display medical guidance for Anaemia	"(procedure (snomed_concept ""Procedure"" ""procedure"") (snomed_concept ""Reference documentation"" ""qualifier value"") (link ""APC 2023 — Anaemia"" ""/medical-resources/primary-care/adult.pdf#page=27"" ""/medical-resources/za/primary-care/adult/thumbnails/400/27.png""))"
Display medical guidance for Anal symptoms	"(procedure (snomed_concept ""Procedure"" ""procedure"") (snomed_concept ""Reference documentation"" ""qualifier value"") (link ""APC 2023 — Anal symptoms"" ""/medical-resources/primary-care/adult.pdf#page=48"" ""/medical-resources/za/primary-care/adult/thumbnails/400/48.png""))"
Display medical guidance for Anaphylaxis	"(procedure (snomed_concept ""Procedure"" ""procedure"") (snomed_concept ""Reference documentation"" ""qualifier value"") (link ""APC 2023 — Anaphylaxis"" ""/medical-resources/primary-care/adult.pdf#page=20"" ""/medical-resources/za/primary-care/adult/thumbnails/400/20.png""))"
Display medical guidance for Anxiety	"(procedure (snomed_concept ""Procedure"" ""procedure"") (snomed_concept ""Reference documentation"" ""qualifier value"") (link ""APC 2023 — Anxiety"" ""/medical-resources/primary-care/adult.pdf#page=86"" ""/medical-resources/za/primary-care/adult/thumbnails/400/86.png""))"
Display medical guidance for Arm symptoms	"(procedure (snomed_concept ""Procedure"" ""procedure"") (snomed_concept ""Reference documentation"" ""qualifier value"") (link ""APC 2023 — Arm symptoms"" ""/medical-resources/primary-care/adult.pdf#page=64"" ""/medical-resources/za/primary-care/adult/thumbnails/400/64.png""))"
Display medical guidance for Back pain	"(procedure (snomed_concept ""Procedure"" ""procedure"") (snomed_concept ""Reference documentation"" ""qualifier value"") (link ""APC 2023 — Back pain"" ""/medical-resources/primary-care/adult.pdf#page=63"" ""/medical-resources/za/primary-care/adult/thumbnails/400/63.png""))"
Display medical guidance for Bites	"(procedure (snomed_concept ""Procedure"" ""procedure"") (snomed_concept ""Reference documentation"" ""qualifier value"") (link ""APC 2023 — Bites"" ""/medical-resources/primary-care/adult.pdf#page=22"" ""/medical-resources/za/primary-care/adult/thumbnails/400/22.png""))"
Display medical guidance for Blackheads	"(procedure (snomed_concept ""Procedure"" ""procedure"") (snomed_concept ""Reference documentation"" ""qualifier value"") (link ""APC 2023 — Blackheads"" ""/medical-resources/primary-care/adult.pdf#page=67"" ""/medical-resources/za/primary-care/adult/thumbnails/400/67.png""))"
Display medical guidance for Body pain	"(procedure (snomed_concept ""Procedure"" ""procedure"") (snomed_concept ""Reference documentation"" ""qualifier value"") (link ""APC 2023 — Body pain"" ""/medical-resources/primary-care/adult.pdf#page=60"" ""/medical-resources/za/primary-care/adult/thumbnails/400/60.png""))"
Display medical guidance for Breast symptoms	"(procedure (snomed_concept ""Procedure"" ""procedure"") (snomed_concept ""Reference documentation"" ""qualifier value"") (link ""APC 2023 — Breast symptoms"" ""/medical-resources/primary-care/adult.pdf#page=43"" ""/medical-resources/za/primary-care/adult/thumbnails/400/43.png""))"
Display medical guidance for Breathing difficulty	"(procedure (snomed_concept ""Procedure"" ""procedure"") (snomed_concept ""Reference documentation"" ""qualifier value"") (link ""APC 2023 — Breathing difficulty"" ""/medical-resources/primary-care/adult.pdf#page=38"" ""/medical-resources/za/primary-care/adult/thumbnails/400/38.png""))"
Display medical guidance for Burns	"(procedure (snomed_concept ""Procedure"" ""procedure"") (snomed_concept ""Reference documentation"" ""qualifier value"") (link ""APC 2023 — Burns"" ""/medical-resources/primary-care/adult.pdf#page=21"" ""/medical-resources/za/primary-care/adult/thumbnails/400/21.png""))"
Display medical guidance for Cardiac arrest	"(procedure (snomed_concept ""Procedure"" ""procedure"") (snomed_concept ""Reference documentation"" ""qualifier value"") (link ""APC 2023 — Cardiac arrest"" ""/medical-resources/primary-care/adult.pdf#page=14"" ""/medical-resources/za/primary-care/adult/thumbnails/400/14.png""))"
Display medical guidance for Chest pain	"(procedure (snomed_concept ""Procedure"" ""procedure"") (snomed_concept ""Reference documentation"" ""qualifier value"") (link ""APC 2023 — Chest pain"" ""/medical-resources/primary-care/adult.pdf#page=37"" ""/medical-resources/za/primary-care/adult/thumbnails/400/37.png""))"
Display medical guidance for Cholera	"(procedure (snomed_concept ""Procedure"" ""procedure"") (snomed_concept ""Reference documentation"" ""qualifier value"") (link ""APC 2023 — Cholera"" ""/medical-resources/primary-care/adult.pdf#page=47"" ""/medical-resources/za/primary-care/adult/thumbnails/400/47.png""))"
Display medical guidance for Collapse	"(procedure (snomed_concept ""Procedure"" ""procedure"") (snomed_concept ""Reference documentation"" ""qualifier value"") (link ""APC 2023 — Collapse"" ""/medical-resources/primary-care/adult.pdf#page=28"" ""/medical-resources/za/primary-care/adult/thumbnails/400/28.png""))"
Display medical guidance for Coma	"(procedure (snomed_concept ""Procedure"" ""procedure"") (snomed_concept ""Reference documentation"" ""qualifier value"") (link ""APC 2023 — Coma"" ""/medical-resources/primary-care/adult.pdf#page=16"" ""/medical-resources/za/primary-care/adult/thumbnails/400/16.png""))"
Display medical guidance for Confused patient	"(procedure (snomed_concept ""Procedure"" ""procedure"") (snomed_concept ""Reference documentation"" ""qualifier value"") (link ""APC 2023 — Confused patient"" ""/medical-resources/primary-care/adult.pdf#page=85"" ""/medical-resources/za/primary-care/adult/thumbnails/400/85.png""))"
Display medical guidance for Constipation	"(procedure (snomed_concept ""Procedure"" ""procedure"") (snomed_concept ""Reference documentation"" ""qualifier value"") (link ""APC 2023 — Constipation"" ""/medical-resources/primary-care/adult.pdf#page=48"" ""/medical-resources/za/primary-care/adult/thumbnails/400/48.png""))"
Display medical guidance for Cough	"(procedure (snomed_concept ""Procedure"" ""procedure"") (snomed_concept ""Reference documentation"" ""qualifier value"") (link ""APC 2023 — Cough"" ""/medical-resources/primary-care/adult.pdf#page=38"" ""/medical-resources/za/primary-care/adult/thumbnails/400/38.png""))"
Display medical guidance for Dental symptoms	"(procedure (snomed_concept ""Procedure"" ""procedure"") (snomed_concept ""Reference documentation"" ""qualifier value"") (link ""APC 2023 — Dental symptoms"" ""/medical-resources/primary-care/adult.pdf#page=36"" ""/medical-resources/za/primary-care/adult/thumbnails/400/36.png""))"
Display medical guidance for Diarrhoea	"(procedure (snomed_concept ""Procedure"" ""procedure"") (snomed_concept ""Reference documentation"" ""qualifier value"") (link ""APC 2023 — Diarrhoea"" ""/medical-resources/primary-care/adult.pdf#page=46"" ""/medical-resources/za/primary-care/adult/thumbnails/400/46.png""))"
Display medical guidance for Discharge, genital	"(procedure (snomed_concept ""Procedure"" ""procedure"") (snomed_concept ""Reference documentation"" ""qualifier value"") (link ""APC 2023 — Discharge, genital"" ""/medical-resources/primary-care/adult.pdf#page=49"" ""/medical-resources/za/primary-care/adult/thumbnails/400/49.png""))"
Display medical guidance for Disruptive patient	"(procedure (snomed_concept ""Procedure"" ""procedure"") (snomed_concept ""Reference documentation"" ""qualifier value"") (link ""APC 2023 — Disruptive patient"" ""/medical-resources/primary-care/adult.pdf#page=84"" ""/medical-resources/za/primary-care/adult/thumbnails/400/84.png""))"
Display medical guidance for Dizziness	"(procedure (snomed_concept ""Procedure"" ""procedure"") (snomed_concept ""Reference documentation"" ""qualifier value"") (link ""APC 2023 — Dizziness"" ""/medical-resources/primary-care/adult.pdf#page=29"" ""/medical-resources/za/primary-care/adult/thumbnails/400/29.png""))"
Display medical guidance for Ear symptoms	"(procedure (snomed_concept ""Procedure"" ""procedure"") (snomed_concept ""Reference documentation"" ""qualifier value"") (link ""APC 2023 — Ear symptoms"" ""/medical-resources/primary-care/adult.pdf#page=33"" ""/medical-resources/za/primary-care/adult/thumbnails/400/33.png""))"
Display medical guidance for Eye symptoms	"(procedure (snomed_concept ""Procedure"" ""procedure"") (snomed_concept ""Reference documentation"" ""qualifier value"") (link ""APC 2023 — Eye symptoms"" ""/medical-resources/primary-care/adult.pdf#page=31"" ""/medical-resources/za/primary-care/adult/thumbnails/400/31.png""))"
Display medical guidance for Lump, skin	"(procedure (snomed_concept ""Procedure"" ""procedure"") (snomed_concept ""Reference documentation"" ""qualifier value"") (link ""APC 2023 — Lump, skin"" ""/medical-resources/primary-care/adult.pdf#page=67"" ""/medical-resources/za/primary-care/adult/thumbnails/400/67.png""))"
Display medical guidance for Lymphadenopathy	"(procedure (snomed_concept ""Procedure"" ""procedure"") (snomed_concept ""Reference documentation"" ""qualifier value"") (link ""APC 2023 — Lymphadenopathy"" ""/medical-resources/primary-care/adult.pdf#page=25"" ""/medical-resources/za/primary-care/adult/thumbnails/400/25.png""))"
Display medical guidance for Menstrual symptoms	"(procedure (snomed_concept ""Procedure"" ""procedure"") (snomed_concept ""Reference documentation"" ""qualifier value"") (link ""APC 2023 — Menstrual symptoms"" ""/medical-resources/primary-care/adult.pdf#page=56"" ""/medical-resources/za/primary-care/adult/thumbnails/400/56.png""))"
Display medical guidance for Miserable patient	"(procedure (snomed_concept ""Procedure"" ""procedure"") (snomed_concept ""Reference documentation"" ""qualifier value"") (link ""APC 2023 — Miserable patient"" ""/medical-resources/primary-care/adult.pdf#page=86"" ""/medical-resources/za/primary-care/adult/thumbnails/400/86.png""))"
Display medical guidance for Mouth/Throat symptoms	"(procedure (snomed_concept ""Procedure"" ""procedure"") (snomed_concept ""Reference documentation"" ""qualifier value"") (link ""APC 2023 — Mouth/Throat symptoms"" ""/medical-resources/primary-care/adult.pdf#page=35"" ""/medical-resources/za/primary-care/adult/thumbnails/400/35.png""))"
Display medical guidance for Face symptoms	"(procedure (snomed_concept ""Procedure"" ""procedure"") (snomed_concept ""Reference documentation"" ""qualifier value"") (link ""APC 2023 — Face symptoms"" ""/medical-resources/primary-care/adult.pdf#page=32"" ""/medical-resources/za/primary-care/adult/thumbnails/400/32.png""))"
Display medical guidance for Faint	"(procedure (snomed_concept ""Procedure"" ""procedure"") (snomed_concept ""Reference documentation"" ""qualifier value"") (link ""APC 2023 — Faint"" ""/medical-resources/primary-care/adult.pdf#page=28"" ""/medical-resources/za/primary-care/adult/thumbnails/400/28.png""))"
Display medical guidance for Falls	"(procedure (snomed_concept ""Procedure"" ""procedure"") (snomed_concept ""Reference documentation"" ""qualifier value"") (link ""APC 2023 — Falls"" ""/medical-resources/primary-care/adult.pdf#page=28"" ""/medical-resources/za/primary-care/adult/thumbnails/400/28.png""))"
Display medical guidance for Fatigue	"(procedure (snomed_concept ""Procedure"" ""procedure"") (snomed_concept ""Reference documentation"" ""qualifier value"") (link ""APC 2023 — Fatigue"" ""/medical-resources/primary-care/adult.pdf#page=26"" ""/medical-resources/za/primary-care/adult/thumbnails/400/26.png""))"
Display medical guidance for Fever	"(procedure (snomed_concept ""Procedure"" ""procedure"") (snomed_concept ""Reference documentation"" ""qualifier value"") (link ""APC 2023 — Fever"" ""/medical-resources/primary-care/adult.pdf#page=24"" ""/medical-resources/za/primary-care/adult/thumbnails/400/24.png""))"
Display medical guidance for Foot symptoms	"(procedure (snomed_concept ""Procedure"" ""procedure"") (snomed_concept ""Reference documentation"" ""qualifier value"") (link ""APC 2023 — Foot symptoms"" ""/medical-resources/primary-care/adult.pdf#page=66"" ""/medical-resources/za/primary-care/adult/thumbnails/400/66.png""))"
Display medical guidance for Fracture	"(procedure (snomed_concept ""Procedure"" ""procedure"") (snomed_concept ""Reference documentation"" ""qualifier value"") (link ""APC 2023 — Fracture"" ""/medical-resources/primary-care/adult.pdf#page=18"" ""/medical-resources/za/primary-care/adult/thumbnails/400/18.png""))"
