id	description	age_determinations	due_to_s_expression
Display medical guidance for Abused patient	Display medical guidance for Abused patient	{adult}	"(active_condition (snomed_concept ""Victim of abuse"" ""finding"") possible)"
Display medical guidance for Abdominal pain	Display medical guidance for Abdominal pain	{adult}	"(active_condition (snomed_concept ""Abdominal pain"" ""finding"") possible)"
Display medical guidance for Aggressive patient	Display medical guidance for Aggressive patient	{adult}	"(active_condition (snomed_concept ""Aggressive behavior"" ""finding"") possible)"
Display medical guidance for Anaemia	Display medical guidance for Anaemia	{adult}	"(active_condition (snomed_concept ""Anemia"" ""disorder"") possible)"
Display medical guidance for Anal symptoms	Display medical guidance for Anal symptoms	{adult}	"(active_condition (snomed_concept ""Rectal symptoms"" ""finding"") possible)"
Display medical guidance for Anaphylaxis	Display medical guidance for Anaphylaxis	{adult}	"(active_condition (snomed_concept ""Anaphylaxis"" ""disorder"") possible)"
Display medical guidance for Anxiety	Display medical guidance for Anxiety	{adult}	"(active_condition (snomed_concept ""Anxiety"" ""finding"") possible)"
Display medical guidance for Arm symptoms	Display medical guidance for Arm symptoms	{adult}	"(finding (snomed_concept ""Clinical finding"" ""finding"") (attribute (snomed_concept ""Finding site"" ""attribute"") (snomed_concept ""Upper limb structure"" ""body structure"")))"
Display medical guidance for Back pain	Display medical guidance for Back pain	{adult}	"(active_condition (snomed_concept ""Backache"" ""finding"") possible)"
Display medical guidance for Bites	Display medical guidance for Bites	{adult}	"(active_condition (snomed_concept ""Bite - wound"" ""disorder"") possible)"
Display medical guidance for Blackheads	Display medical guidance for Blackheads	{adult}	"(active_condition (snomed_concept ""Comedone"" ""disorder"") possible)"
Display medical guidance for Body pain	Display medical guidance for Body pain	{adult}	"(active_condition (snomed_concept ""Generalized aches and pains"" ""finding"") possible)"
Display medical guidance for Breast symptoms	Display medical guidance for Breast symptoms	{adult}	"(active_condition (snomed_concept ""Breast signs and symptoms"" ""finding"") possible)"
Display medical guidance for Breathing difficulty	Display medical guidance for Breathing difficulty	{adult}	"(active_condition (snomed_concept ""Difficulty breathing"" ""finding"") possible)"
Display medical guidance for Burns	Display medical guidance for Burns	{adult}	"(active_condition (snomed_concept ""Burn"" ""disorder"") possible)"
Display medical guidance for Cardiac arrest	Display medical guidance for Cardiac arrest	{adult}	"(active_condition (snomed_concept ""Cardiac arrest"" ""disorder"") possible)"
Display medical guidance for Chest pain	Display medical guidance for Chest pain	{adult}	"(active_condition (snomed_concept ""Chest pain"" ""finding"") possible)"
Display medical guidance for Cholera	Display medical guidance for Cholera	{adult}	"(active_condition (snomed_concept ""Cholera"" ""disorder"") possible)"
Display medical guidance for Collapse	Display medical guidance for Collapse	{adult}	"(active_condition (snomed_concept ""Collapse"" ""finding"") possible)"
Display medical guidance for Coma	Display medical guidance for Coma	{adult}	"(active_condition (snomed_concept ""Coma"" ""disorder"") possible)"
Display medical guidance for Confused patient	Display medical guidance for Confused patient	{adult}	"(active_condition (snomed_concept ""Clouded consciousness"" ""finding"") possible)"
Display medical guidance for Constipation	Display medical guidance for Constipation	{adult}	"(active_condition (snomed_concept ""Constipation"" ""finding"") possible)"
Display medical guidance for Cough	Display medical guidance for Cough	{adult}	"(active_condition (snomed_concept ""Cough"" ""finding"") possible)"
Display medical guidance for Dental symptoms	Display medical guidance for Dental symptoms	{adult}	"(finding (snomed_concept ""Clinical finding"" ""finding"") (attribute (snomed_concept ""Finding site"" ""attribute"") (snomed_concept ""Dental arch structure"" ""body structure"")))"
Display medical guidance for Diarrhoea	Display medical guidance for Diarrhoea	{adult}	"(active_condition (snomed_concept ""Diarrhea"" ""finding"") possible)"
Display medical guidance for Discharge, genital	Display medical guidance for Discharge, genital	{adult}	"(active_condition (snomed_concept ""Abnormal urogenital discharge"" ""finding"") possible)"
Display medical guidance for Disruptive patient	Display medical guidance for Disruptive patient	{adult}	"(active_condition (snomed_concept ""Disruptive behavior"" ""finding"") possible)"
Display medical guidance for Dizziness	Display medical guidance for Dizziness	{adult}	"(active_condition (snomed_concept ""Dizziness"" ""finding"") possible)"
Display medical guidance for Ear symptoms	Display medical guidance for Ear symptoms	{adult}	"(finding (snomed_concept ""Clinical finding"" ""finding"") (attribute (snomed_concept ""Finding site"" ""attribute"") (snomed_concept ""Ear structure"" ""body structure"")))"
Display medical guidance for Eye symptoms	Display medical guidance for Eye symptoms	{adult}	"(active_condition (snomed_concept ""Eye symptom"" ""finding"") possible)"
Display medical guidance for Lump, skin	Display medical guidance for Lump, skin	{adult}	"(active_condition (snomed_concept ""Mass of skin"" ""finding"") possible)"
Display medical guidance for Lymphadenopathy	Display medical guidance for Lymphadenopathy	{adult}	"(active_condition (snomed_concept ""Lymphadenopathy"" ""disorder"") possible)"
Display medical guidance for Menstrual symptoms	Display medical guidance for Menstrual symptoms	{adult}	"(active_condition (snomed_concept ""Disorder of menstruation"" ""disorder"") possible)"
Display medical guidance for Miserable patient	Display medical guidance for Miserable patient	{adult}	"(active_condition (snomed_concept ""Symptoms of depression"" ""finding"") possible)"
Display medical guidance for Mouth/Throat symptoms	Display medical guidance for Mouth/Throat symptoms	{adult}	"(finding (snomed_concept ""Clinical finding"" ""finding"") (attribute (snomed_concept ""Finding site"" ""attribute"") (snomed_concept ""Structure of mouth and/or pharynx"" ""body structure"")))"
Display medical guidance for Face symptoms	Display medical guidance for Face symptoms	{adult}	"(finding (snomed_concept ""Clinical finding"" ""finding"") (attribute (snomed_concept ""Finding site"" ""attribute"") (snomed_concept ""Face structure"" ""body structure"")))"
Display medical guidance for Faint	Display medical guidance for Faint	{adult}	"(active_condition (snomed_concept ""Syncope"" ""finding"") possible)"
Display medical guidance for Falls	Display medical guidance for Falls	{adult}	"(active_condition (snomed_concept ""Falls"" ""finding"") possible)"
Display medical guidance for Fatigue	Display medical guidance for Fatigue	{adult}	"(active_condition (snomed_concept ""Fatigue"" ""finding"") possible)"
Display medical guidance for Fever	Display medical guidance for Fever	{adult}	"(active_condition (snomed_concept ""Fever"" ""finding"") possible)"
Display medical guidance for Foot symptoms	Display medical guidance for Foot symptoms	{adult}	"(finding (snomed_concept ""Clinical finding"" ""finding"") (attribute (snomed_concept ""Finding site"" ""attribute"") (snomed_concept ""Foot structure"" ""body structure"")))"
Display medical guidance for Fracture	Display medical guidance for Fracture	{adult}	"(active_condition (snomed_concept ""Fracture"" ""morphologic abnormality"") possible)"
Display medical guidance for Nail symptoms	Display medical guidance for Nail symptoms	{adult}	"(finding (snomed_concept ""Clinical finding"" ""finding"") (attribute (snomed_concept ""Finding site"" ""attribute"") (snomed_concept ""Nail unit structure"" ""body structure"")))"
Display medical guidance for Nausea	Display medical guidance for Nausea	{adult}	"(active_condition (snomed_concept ""Nausea"" ""finding"") possible)"
Display medical guidance for Neck pain	Display medical guidance for Neck pain	{adult}	"(active_condition (snomed_concept ""Neck pain"" ""finding"") possible)"
Display medical guidance for Needlestick injury	Display medical guidance for Needlestick injury	{adult}	"(active_condition (snomed_concept ""Accidental needle stick injury"" ""disorder"") possible)"
Display medical guidance for Nose symptoms	Display medical guidance for Nose symptoms	{adult}	"(active_condition (snomed_concept ""Nasal symptom"" ""finding"") possible)"
Display medical guidance for Genital symptoms	Display medical guidance for Genital symptoms	{adult}	"(active_condition (snomed_concept ""Symptom: genital area"" ""finding"") possible)"
Display medical guidance for Glucose	Display medical guidance for Glucose	{adult}	"(active_condition (snomed_concept ""Finding of glucose level"" ""finding"") possible)"
Display medical guidance for Gum symptoms	Display medical guidance for Gum symptoms	{adult}	"(finding (snomed_concept ""Clinical finding"" ""finding"") (attribute (snomed_concept ""Finding site"" ""attribute"") (snomed_concept ""Gingival structure"" ""body structure"")))"
Display medical guidance for Overweight patient	Display medical guidance for Overweight patient	{adult}	"(active_condition (snomed_concept ""Overweight"" ""finding"") possible)"
Display medical guidance for Hair loss	Display medical guidance for Hair loss	{adult}	"(active_condition (snomed_concept ""Alopecia"" ""disorder"") possible)"
Display medical guidance for Hand symptoms	Display medical guidance for Hand symptoms	{adult}	"(finding (snomed_concept ""Clinical finding"" ""finding"") (attribute (snomed_concept ""Finding site"" ""attribute"") (snomed_concept ""Hand structure"" ""body structure"")))"
Display medical guidance for Headache	Display medical guidance for Headache	{adult}	"(active_condition (snomed_concept ""Headache"" ""finding"") possible)"
